KEGG Pathway Term ID	KEGG Pathway Term Desc	Rich Ratio	Qvalue
04658	Th1 and Th2 cell differentiation	0.141304347826087	0.01235435
04520	Adherens junction	0.154929577464789	0.009141238
04150	mTOR signaling pathway	0.13548387096774198	0.008904287
05206	MicroRNAs in cancer	0.136645962732919	0.00776540000000001
05161	Hepatitis B	0.136645962732919	0.007748630000000001
04145	Phagosome	0.139072847682119	0.007177608
05225	Hepatocellular carcinoma	0.137724550898204	0.04740684
05231	Choline metabolism in cancer	0.153061224489796	0.000600747
04151	PI3K-Akt signaling pathway	0.127118644067797	0.005015593
04216	Ferroptosis	0.195121951219512	0.04627315
04010	MAPK signaling pathway	0.149659863945578	0.003661181
04115	p53 signaling pathway	0.232876712328767	6.518255E-4
04060	Cytokine-cytokine receptor interaction	0.169491525423729	1.0599E-4
05200	Pathways in cancer	0.150943396226415	7.336428E-5
04630	JAK-STAT signaling pathway	0.203703703703704	4.572278E-5
